,variable,coef,std err,z,p_value,coef_low_ci,coef_up_ci,percent_diff,percent_diff_lower,percent_diff_upper,percent_diff_frmt,percent_diff_lower_frmt,percent_diff_upper_frmt,fmt_coef,pct_ci_frmt,var_val,var_name,var_name_w_val,orig_varname_w_val,fmt_varname_w_val,fmt_ref,order,varname_w_ref
15,year_f[T.2013],0.0192,0.33,0.057999999999999996,0.953,-0.627,0.6659999999999999,0.019385505332123465,-0.4658080245285159,0.9464359844275911,1.94%,-46.58%,94.64%,0.019 (0.330),"1.94%
(-46.58%, 94.64%)",,year_f[T.2013],year_f[T.2013],year_f[T.2013],2013,(ref: 2010),15.0,"2013
(ref: 2010)"
16,year_f[T.2014],-0.1325,0.32899999999999996,-0.402,0.688,-0.778,0.513,-0.12409706589379688,-0.5406762592486296,0.6702945698405354,-12.41%,-54.07%,67.03%,-0.133 (0.329),"-12.41%
(-54.07%, 67.03%)",,year_f[T.2014],year_f[T.2014],year_f[T.2014],2014,(ref: 2010),16.0,"2014
(ref: 2010)"
17,year_f[T.2015],-0.0484,0.32899999999999996,-0.147,0.883,-0.6940000000000001,0.597,-0.04724739019678903,-0.5004262279464551,0.8166606353305506,-4.72%,-50.04%,81.67%,-0.048 (0.329),"-4.72%
(-50.04%, 81.67%)",,year_f[T.2015],year_f[T.2015],year_f[T.2015],2015,(ref: 2010),17.0,"2015
(ref: 2010)"
18,year_f[T.2016],0.1245,0.32899999999999996,0.37799999999999995,0.705,-0.521,0.77,0.13258202046024525,-0.4060736754165639,1.1597662537849152,13.26%,-40.61%,115.98%,0.124 (0.329),"13.26%
(-40.61%, 115.98%)",,year_f[T.2016],year_f[T.2016],year_f[T.2016],2016,(ref: 2010),18.0,"2016
(ref: 2010)"
19,year_f[T.2017],-0.0893,0.32899999999999996,-0.271,0.7859999999999999,-0.735,0.556,-0.08542883893368602,-0.5204945410251058,0.7436837970197381,-8.54%,-52.05%,74.37%,-0.089 (0.329),"-8.54%
(-52.05%, 74.37%)",,year_f[T.2017],year_f[T.2017],year_f[T.2017],2017,(ref: 2010),19.0,"2017
(ref: 2010)"
20,year_f[T.2018],-0.2022,0.32899999999999996,-0.614,0.539,-0.848,0.44299999999999995,-0.18306847470254262,-0.5717293827873403,0.5573723343417794,-18.31%,-57.17%,55.74%,-0.202 (0.329),"-18.31%
(-57.17%, 55.74%)",,year_f[T.2018],year_f[T.2018],year_f[T.2018],2018,(ref: 2010),20.0,"2018
(ref: 2010)"
21,year_f[T.2019],-0.4035,0.32899999999999996,-1.225,0.221,-1.0490000000000002,0.242,-0.33202197320101046,-0.6497121381125215,0.2737941928161949,-33.20%,-64.97%,27.38%,-0.404 (0.329),"-33.20%
(-64.97%, 27.38%)",,year_f[T.2019],year_f[T.2019],year_f[T.2019],2019,(ref: 2010),21.0,"2019
(ref: 2010)"
22,winsorized_goal,1.132e-05,1.23e-07,92.307,0.0,1.11e-05,1.1599999999999999e-05,1.1320064071451696e-05,1.1100061605207046e-05,1.1600067280292947e-05,0.00%,0.00%,0.00%,0.000 (0.000),"0.00%
(0.00%, 0.00%)",,winsorized_goal,winsorized_goal,winsorized_goal,Goal Amount,,22.0,
23,shares,0.0001,3.53e-06,29.405,0.0,9.68e-05,0.0,0.0001000050001667141,9.680468527117903e-05,0.0,0.01%,0.01%,0.00%,0.000 (0.000),"0.01%
(0.01%, 0.00%)",,shares,shares,shares,Number of Shares,,23.0,
24,num_contributors,0.0033,2.36e-05,138.168,0.0,0.003,0.003,0.00330545099444457,0.003004504503377081,0.003004504503377081,0.33%,0.30%,0.30%,0.003 (0.000),"0.33%
(0.30%, 0.30%)",,num_contributors,num_contributors,num_contributors,Number of Contributors,,24.0,
